,id,cosine,confidence,field,field1,field2
1348757259,,,,,,
1349918453,,,,,,
1352322748,,,,,,
1352763860,,,,,,
1331993681,1333087124,0.6517123579978943,possible,,_source.text,_source.text
1334785024,,,,,,
1325143507,,,,,,
1325955922,,,,,,
1324604550,,,,,,
1326862438,1362709086,0.6177608370780945,possible,,_source.text,_source.text
1331993671,,,,,,
1340883938,,,,,,
1340883912,,,,,,
1337464135,,,,,,
1344770081,,,,,,
1345885848,,,,,,
1345619037,,,,,,
1341683244,1422690131,0.6339744329452515,possible,,_source.text,_source.summary
1336908395,,,,,,
1347648918,,,,,,
1347279837,,,,,,
1348757250,,,,,,
1348757253,,,,,,
1348757292,,,,,,
1353302009,1357791884,0.6896666288375854,possible,,_source.text,_source.text
1373188294,,,,,,
1377864827,,,,,,
1375831983,,,,,,
1370114531,,,,,,
1370996743,,,,,,
1368819880,,,,,,
1368819876,,,,,,
1373575547,,,,,,
1363820502,,,,,,
1363851668,,,,,,
1360865835,,,,,,
1360865971,,,,,,
1361187888,,,,,,
1361117945,,,,,,
1356797976,,,,,,
1363556673,,,,,,
1367064920,,,,,,
1367868678,,,,,,
1354358188,,,,,,
1355576512,,,,,,
1360477288,,,,,,
1360477317,,,,,,
1354735454,,,,,,
1354718769,,,,,,
1385777979,,,,,,
1386173102,,,,,,
1386052393,,,,,,
1389791004,,,,,,
1389341046,,,,,,
1389340831,,,,,,
1389340823,,,,,,
1389772027,,,,,,
1390249698,,,,,,
1390729886,,,,,,
1392203712,1392781988,0.6551364064216614,possible,,_source.text,_source.summary
1393100534,,,,,,
1393549179,,,,,,
1393177608,,,,,,
1395774236,,,,,,
1397531343,,,,,,
1397535556,,,,,,
1401099743,,,,,,
1401216983,,,,,,
1401244133,,,,,,
1401851838,1404902798,0.8491824269294739,likely,,_source.text,_source.text
1398185359,,,,,,
1398261362,,,,,,
1391479207,1394607370,0.7407833933830261,possible,,_source.text,_source.text
1407062959,,,,,,
1407063464,,,,,,
1409640927,,,,,,
1409696204,,,,,,
1412819207,,,,,,
1403120720,1406120237,0.7523557543754578,likely,,_source.text,_source.text
1403427108,,,,,,
1403445244,,,,,,
1404909481,1406920046,0.6873028874397278,possible,,_source.text,_source.text
1413707142,,,,,,
1417484165,,,,,,
1412556413,,,,,,
1418093433,,,,,,
1417753151,,,,,,
1421402568,,,,,,
1423056180,,,,,,
1360345822,,,,,,
1357384455,,,,,,
1363188387,,,,,,
1363267612,,,,,,
1361521115,,,,,,
1361725045,,,,,,
1359828383,,,,,,
1359848634,,,,,,
1361968463,,,,,,
1360477306,,,,,,
1365399591,,,,,,
1367046231,,,,,,
1355296457,,,,,,
1355849365,,,,,,
1355500496,,,,,,
1354735473,,,,,,
1353328398,,,,,,
1372867433,,,,,,
1371565289,,,,,,
1371608878,,,,,,
1371119152,,,,,,
1370021704,,,,,,
1370105247,,,,,,
1370951438,1408964802,0.6029235124588013,possible,,_source.pretext,_source.text
1378961840,,,,,,
1368819875,,,,,,
1368819882,,,,,,
1368616046,,,,,,
1380695119,1394011282,0.6461883783340454,possible,,_source.text,_source.text
1380453505,,,,,,
1379746808,,,,,,
1379747195,,,,,,
1381264035,,,,,,
1385051637,,,,,,
1385778325,,,,,,
1385778343,,,,,,
1330315630,,,,,,
1329987328,,,,,,
1331447278,,,,,,
1332980221,,,,,,
1332296839,1402395933,0.6703829765319824,possible,,_source.text,_source.text
1331804616,,,,,,
1333685207,,,,,,
1332470727,,,,,,
1340883908,,,,,,
1340883935,1399501897,0.6915156245231628,possible,,_source.pretext,_source.text
1340883902,,,,,,
1339588895,,,,,,
1344752514,,,,,,
1345917423,,,,,,
1346279732,,,,,,
1347748756,,,,,,
1348503953,1419867214,0.6249464750289917,possible,,_source.text,_source.text
1350084116,,,,,,
1351993574,,,,,,
1352027870,,,,,,
1352369709,,,,,,
1352742278,,,,,,
1352762592,,,,,,
1330315563,1422690131,0.6127912402153015,possible,,_source.text,_source.summary
1331447268,,,,,,
1331445690,,,,,,
1331869370,1331813371,0.7089152932167053,possible,,_source.text,_source.text
1332470721,,,,,,
1334785022,,,,,,
1328073053,,,,,,
1335430029,,,,,,
1331993679,,,,,,
1325957373,,,,,,
1342143809,,,,,,
1344570970,,,,,,
1345113245,,,,,,
1345613413,,,,,,
1338609476,,,,,,
1339254461,,,,,,
1340883924,,,,,,
1341511261,1417866220,0.6134393215179443,possible,,_source.text,_source.text
1348311911,,,,,,
1337419573,,,,,,
1338171133,,,,,,
1337464139,,,,,,
1351939633,,,,,,
1352106711,,,,,,
1331288277,,,,,,
1334734214,,,,,,
1333670955,,,,,,
1326907836,,,,,,
1327134213,,,,,,
1330315644,,,,,,
1329716034,,,,,,
1324592237,,,,,,
1324664290,,,,,,
1339335240,,,,,,
1339073309,,,,,,
1346264366,1409064269,0.7749956846237183,likely,,_source.pretext,_source.text
1337956250,,,,,,
1338189810,,,,,,
1338194061,,,,,,
1338063731,,,,,,
1347085227,,,,,,
1337424765,,,,,,
1337352649,1407565979,0.7845295667648315,likely,,_source.text,_source.text
1349489286,,,,,,
1349498327,,,,,,
1351807815,,,,,,
1293824536,1299001333,0.812129557132721,likely,,_source.text,_source.text
1303853081,,,,,,
1304927388,,,,,,
1304752044,,,,,,
1307786146,1309566582,0.7291792035102844,possible,,_source.text,_source.text
1307753818,,,,,,
1307939962,1311946125,0.6499940752983093,possible,,_source.text,_source.text
1293729586,,,,,,
1293704664,,,,,,
1316749547,,,,,,
1317731315,,,,,,
1317984704,,,,,,
1316938825,,,,,,
1316938824,,,,,,
1316749525,1349801862,0.7986734509468079,likely,,_source.text,_source.text
1315262851,,,,,,
1311623325,1323726682,0.651350200176239,possible,,_source.text,_source.text
1309162685,1308293722,0.8775631189346313,likely,,_source.text,_source.text
1312042006,,,,,,
1319951417,,,,,,
1319573683,,,,,,
1322347133,,,,,,
1323255871,1394011282,0.6646712422370911,possible,,_source.text,_source.text
1360189903,,,,,,
1361438209,,,,,,
1359936919,,,,,,
1362114495,,,,,,
1361647090,,,,,,
1363337060,,,,,,
1363337059,,,,,,
1363720258,,,,,,
1364156623,,,,,,
1356427759,,,,,,
1356464530,,,,,,
1355956678,,,,,,
1355840589,,,,,,
1355868351,,,,,,
1355614328,,,,,,
1353328344,,,,,,
1376533031,,,,,,
1375802212,,,,,,
1375843319,1404955076,0.641735315322876,possible,,_source.text,_source.text
1371037666,,,,,,
1378499859,,,,,,
1378531038,,,,,,
1379518419,,,,,,
1379622200,,,,,,
1379020246,,,,,,
1379747604,,,,,,
1368543250,1374951583,0.7516170144081116,likely,,_source.text,_source.text
1367275716,,,,,,
1384452271,,,,,,
1387504897,,,,,,
1387680178,,,,,,
1387598478,,,,,,
1386059852,,,,,,
1388620029,,,,,,
1388943470,,,,,,
1389036449,1409064269,0.6769942045211792,possible,,_source.text,_source.text
1389585756,,,,,,
1390627918,,,,,,
1296845769,1300651037,0.6510074734687805,possible,,_source.text,_source.text
1298441069,,,,,,
1299788514,,,,,,
1295564616,1305756868,0.6288950443267822,possible,,_source.text,_source.text
1300900226,,,,,,
1318026651,,,,,,
1316749524,1406120237,0.7896025776863098,likely,,_source.text,_source.text
1316812901,1323726682,0.7588462829589844,likely,,_source.text,_source.text
1316812743,,,,,,
1317605018,,,,,,
1315986831,,,,,,
1307651595,,,,,,
1308086788,,,,,,
1308015481,1314540013,0.6958950757980347,possible,,_source.text,_source.text
1315549540,1340738716,0.775484025478363,likely,,_source.text,_source.text
1312383562,,,,,,
1313274997,,,,,,
1311401396,,,,,,
1311595335,1311236146,0.7721273899078369,likely,,_source.text,_source.text
1319513354,,,,,,
1320574504,,,,,,
1322347104,,,,,,
1322347132,,,,,,
1322347103,,,,,,
1321906786,,,,,,
1323758117,,,,,,
1356498834,,,,,,
1361246017,,,,,,
1361968864,,,,,,
1360419543,,,,,,
1360477287,,,,,,
1361117976,,,,,,
1366801356,,,,,,
1366920341,,,,,,
1355474889,,,,,,
1354611874,,,,,,
1354735466,,,,,,
1354735464,,,,,,
1353328328,,,,,,
1367924616,,,,,,
1372298047,,,,,,
1372618674,,,,,,
1362746783,,,,,,
1363337062,,,,,,
1363000867,,,,,,
1375820297,,,,,,
1368709826,1373399905,0.7397798299789429,possible,,_source.text,_source.text
1367647109,,,,,,
1378436853,1394607370,0.8636195063591003,likely,,_source.text,_source.text
1384348615,,,,,,
1384928566,,,,,,
1384720631,1396749118,0.6356845498085022,possible,,_source.pretext,_source.text
1385551337,,,,,,
1385559430,,,,,,
1386266275,,,,,,
1386889841,,,,,,
1388919330,,,,,,
1389064447,,,,,,
1387642733,,,,,,
1389154092,,,,,,
1390318518,,,,,,
1372248802,,,,,,
1390665426,,,,,,
1359887456,,,,,,
1360699012,,,,,,
1356892524,,,,,,
1357283965,,,,,,
1363608214,,,,,,
1355912328,,,,,,
1356508675,,,,,,
1363617137,,,,,,
1354411189,,,,,,
1354735460,,,,,,
1354699427,,,,,,
1370011546,,,,,,
1369374849,,,,,,
1369643978,,,,,,
1372345876,,,,,,
1372511296,,,,,,
1373038865,,,,,,
1376558309,1406120222,0.8595077395439148,likely,,_source.text,_source.text
1368668870,,,,,,
1368445099,1372475580,0.6809156537055969,possible,,_source.text,_source.text
1368819879,,,,,,
1379555179,,,,,,
1379746759,,,,,,
1380108071,,,,,,
1380628119,,,,,,
1380951870,,,,,,
1379923660,,,,,,
1380214686,1402638172,0.6118207573890686,possible,,_source.pretext,_source.summary
1382849377,,,,,,
1385778344,,,,,,
1384428742,,,,,,
1384633487,,,,,,
1385061028,,,,,,
1388573164,,,,,,
1389037867,,,,,,
1389340852,,,,,,
1389341045,,,,,,
1389340945,,,,,,
1389845072,,,,,,
1296142930,1307652667,0.7158018350601196,possible,,_source.text,_source.text
1300996649,,,,,,
1316812737,,,,,,
1292464101,,,,,,
1293724986,,,,,,
1296693340,,,,,,
1316474613,1318361235,0.6726858019828796,possible,,_source.text,_source.text
1316812746,,,,,,
1316624279,,,,,,
1319235147,,,,,,
1315549512,1324860315,0.7427962422370911,possible,,_source.text,_source.text
1303774432,,,,,,
1309066748,,,,,,
1310313061,1311236146,0.7103227376937866,possible,,_source.pretext,_source.text
1303289632,,,,,,
1311283583,,,,,,
1311466996,,,,,,
1312275767,1381167378,0.6068106293678284,possible,,_source.text,_source.text
1312275766,,,,,,
1313204575,1323974314,0.8220161199569702,likely,,_source.text,_source.text
1302660992,,,,,,
1304456030,,,,,,
1304932134,,,,,,
1319573642,,,,,,
1319573702,,,,,,
1322347122,,,,,,
1318431093,,,,,,
1295642773,1295899479,0.8704369068145752,likely,,_source.text,_source.text
1300221684,,,,,,
1303859497,1305605359,0.8641513586044312,likely,,_source.text,_source.text
1302009579,,,,,,
1308585493,,,,,,
1308653242,,,,,,
1311623327,1310590867,0.801249623298645,likely,,_source.text,_source.text
1309162707,,,,,,
1310313125,,,,,,
1310313076,1348723627,0.6324539184570312,possible,,_source.text,_source.summary
1310313070,1324860315,0.7364406585693359,possible,,_source.text,_source.text
1293824210,,,,,,
1318956549,,,,,,
1319573628,,,,,,
1315549521,,,,,,
1302061462,1305605359,0.6424726843833923,possible,,_source.text,_source.text
1304694539,,,,,,
1297237440,,,,,,
1295642778,,,,,,
1295642751,,,,,,
1304719382,,,,,,
1317235853,,,,,,
1319573682,,,,,,
1322347106,,,,,,
1322915263,,,,,,
1321885230,,,,,,
1323758116,,,,,,
1300996645,1409064269,0.7018284201622009,possible,,_source.text,_source.text
1300850970,1367993887,0.6370129585266113,possible,,_source.text,_source.text
1297237139,,,,,,
